IES.PADRE,InstituciÃ³n de EducaciÃ³n Superior (IES),Programa Académico,Id GÃ©nero,AÃ±o,Semestre,Total Matriculados
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN COMERCIO EXTERIOR Y NEGOCIOS INTERNACIONALES,2,2015,1,1
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE COMERCIO EXTERIOR,2,2015,1,214
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE COMERCIO EXTERIOR,1,2015,1,231
5802,UNIVERSIDAD ECCI,INGENIERIA MECATRONICA,2,2015,1,8
5802,UNIVERSIDAD ECCI,INGENIERIA MECATRONICA,1,2015,1,32
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,2,2015,1,42
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,1,2015,1,337
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN PROCESAMIENTO DE PLASTICOS,2,2015,1,4
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN PROCESAMIENTO DE PLASTICOS,1,2015,1,19
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN CREACION Y PRODUCCION DE MODA,2,2015,1,174
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN CREACION Y PRODUCCION DE MODA,1,2015,1,26
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,2,2015,1,139
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,1,2015,1,92
5802,UNIVERSIDAD ECCI,ESTADÍSTICA,2,2015,1,3
5802,UNIVERSIDAD ECCI,ESTADÍSTICA,1,2015,1,4
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,2,2015,1,30
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,1,2015,1,31
5802,UNIVERSIDAD ECCI,COMERCIO INTERNACIONAL,1,2016,1,168
5802,UNIVERSIDAD ECCI,COMERCIO INTERNACIONAL,2,2016,1,281
5802,UNIVERSIDAD ECCI,CONTADURÍA PÚBLICA,1,2016,1,44
5802,UNIVERSIDAD ECCI,CONTADURÍA PÚBLICA,2,2016,1,109
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN PRODUCCION Y LOGISTICA INTERNACIONAL,1,2016,1,17
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN PRODUCCION Y LOGISTICA INTERNACIONAL,2,2016,1,10
