IES.PADRE,IES,Programa Académico,GÉNERO,AÑO,Semestre,Total Matriculados
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MECANICA AUTOMOTRIZ,HOMBRE,2015,1,1819
5802,UNIVERSIDAD ECCI,TECNICA PROFESIONAL EN MECANICA AUTOMOTRIZ,MUJER,2015,1,1
5802,UNIVERSIDAD ECCI,TECNICA PROFESIONAL EN MECANICA AUTOMOTRIZ,HOMBRE,2015,1,19
5802,UNIVERSIDAD ECCI,TECNICA PROFESIONAL EN MECANICA AUTOMOTRIZ,HOMBRE,2015,1,13
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN COMERCIO EXTERIOR Y NEGOCIOS INTERNACIONALES,MUJER,2015,1,1
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE COMERCIO EXTERIOR,MUJER,2015,1,214
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE COMERCIO EXTERIOR,HOMBRE,2015,1,231
5802,UNIVERSIDAD ECCI,INGENIERIA MECATRONICA,MUJER,2015,1,8
5802,UNIVERSIDAD ECCI,INGENIERIA MECATRONICA,HOMBRE,2015,1,32
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,MUJER,2015,1,42
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,HOMBRE,2015,1,337
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN PROCESAMIENTO DE PLASTICOS,MUJER,2015,1,4
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN PROCESAMIENTO DE PLASTICOS,HOMBRE,2015,1,19
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN CREACION Y PRODUCCION DE MODA,MUJER,2015,1,174
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN CREACION Y PRODUCCION DE MODA,HOMBRE,2015,1,26
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,MUJER,2015,1,139
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,HOMBRE,2015,1,92
5802,UNIVERSIDAD ECCI,ESTADÍSTICA,MUJER,2015,1,3
5802,UNIVERSIDAD ECCI,ESTADÍSTICA,HOMBRE,2015,1,4
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,MUJER,2015,1,30
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,HOMBRE,2015,1,31
5802,UNIVERSIDAD ECCI,COMERCIO INTERNACIONAL,HOMBRE,2016,1,168
5802,UNIVERSIDAD ECCI,COMERCIO INTERNACIONAL,MUJER,2016,1,281
5802,UNIVERSIDAD ECCI,CONTADURÍA PÚBLICA,HOMBRE,2016,1,44
5802,UNIVERSIDAD ECCI,CONTADURÍA PÚBLICA,MUJER,2016,1,109
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN PRODUCCION Y LOGISTICA INTERNACIONAL,HOMBRE,2016,1,17
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN PRODUCCION Y LOGISTICA INTERNACIONAL,MUJER,2016,1,10
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE MANTENIMIENTO,HOMBRE,2016,1,84
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE MANTENIMIENTO,MUJER,2016,1,12
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN AUTOMATIZACION INDUSTRIAL,HOMBRE,2016,1,12
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE INGENIERIA HOSPITALARIA,HOMBRE,2016,1,4
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE INGENIERIA HOSPITALARIA,MUJER,2016,1,4
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN TELECOMUNICACIONES INALAMBRICAS,HOMBRE,2016,1,9
5802,UNIVERSIDAD ECCI,INGENIERIA ELECTRONICA,HOMBRE,2016,1,489
5802,UNIVERSIDAD ECCI,INGENIERIA ELECTRONICA,MUJER,2016,1,57
5802,UNIVERSIDAD ECCI,INGENIERIA DE SISTEMAS,HOMBRE,2016,1,351
5802,UNIVERSIDAD ECCI,INGENIERIA DE SISTEMAS,MUJER,2016,1,113
5802,UNIVERSIDAD ECCI,INGENIERIA BIOMEDICA,HOMBRE,2016,1,162
5802,UNIVERSIDAD ECCI,INGENIERIA BIOMEDICA,MUJER,2016,1,127
5802,UNIVERSIDAD ECCI,INGENIERIA AMBIENTAL,HOMBRE,2016,1,349
5802,UNIVERSIDAD ECCI,INGENIERIA AMBIENTAL,MUJER,2016,1,512
5802,UNIVERSIDAD ECCI,INGENIERIA INDUSTRIAL,HOMBRE,2016,1,712
5802,UNIVERSIDAD ECCI,INGENIERIA INDUSTRIAL,MUJER,2016,1,584
5802,UNIVERSIDAD ECCI,INGENIERIA MECANICA,HOMBRE,2016,1,991
5802,UNIVERSIDAD ECCI,INGENIERIA MECANICA,MUJER,2016,1,39
5802,UNIVERSIDAD ECCI,INGENIERIA DE PLASTICOS,HOMBRE,2016,1,20
5802,UNIVERSIDAD ECCI,INGENIERIA DE PLASTICOS,MUJER,2016,1,10
5802,UNIVERSIDAD ECCI,DISEÑO DE MODAS,HOMBRE,2016,1,5
5802,UNIVERSIDAD ECCI,DISEÑO DE MODAS,MUJER,2016,1,70
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN LENGUAS MODERNAS,HOMBRE,2016,1,12
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN LENGUAS MODERNAS,MUJER,2016,1,30
